Date,Open,High,Low,Close,Volume
14-Oct-13,175.00,182.50,174.15,179.72,7769630
11-Oct-13,172.75,179.29,171.20,178.70,8311086
10-Oct-13,173.09,175.75,169.69,172.93,8883910
9-Oct-13,174.73,174.99,161.50,168.78,15316481
8-Oct-13,184.40,185.93,173.21,174.73,13757218
7-Oct-13,182.46,186.73,180.26,183.07,11485579
4-Oct-13,176.40,181.18,172.65,180.98,14413965
3-Oct-13,175.04,179.69,168.00,173.31,23816504
2-Oct-13,188.59,191.83,175.40,180.95,20775410
1-Oct-13,193.96,194.23,188.37,193.00,7761429
30-Sep-13,189.00,194.50,188.00,193.37,8934541
27-Sep-13,187.52,191.28,186.43,190.90,5923881
26-Sep-13,186.70,189.68,185.61,188.64,6621592
25-Sep-13,183.56,186.30,180.50,185.24,8252621
24-Sep-13,179.14,184.96,177.65,182.33,6282431
23-Sep-13,184.48,185.48,177.11,181.11,8191841
20-Sep-13,178.90,185.83,178.56,183.39,13401689
19-Sep-13,170.80,180.47,169.08,177.92,15594568
18-Sep-13,167.07,167.45,164.20,166.22,5439615
17-Sep-13,165.08,168.42,163.36,166.23,5500719
16-Sep-13,168.00,170.85,165.85,166.58,7592598
13-Sep-13,162.77,166.37,162.16,165.54,5409888
12-Sep-13,164.00,166.76,160.51,164.93,6159993
11-Sep-13,166.41,167.90,162.13,163.52,5811072
10-Sep-13,161.45,167.50,160.63,166.37,8967786
9-Sep-13,163.12,164.50,158.51,160.70,14344473
6-Sep-13,168.57,169.70,165.15,166.97,8619630
5-Sep-13,170.10,171.50,168.25,169.93,6693202
4-Sep-13,169.77,171.62,165.56,170.62,11475647
3-Sep-13,173.40,173.70,166.40,168.94,12061100
30-Aug-13,166.37,169.21,163.96,169.00,11028358
29-Aug-13,164.22,167.75,162.51,166.06,9445720
28-Aug-13,169.06,171.50,163.25,166.45,14740006
27-Aug-13,162.30,168.80,160.95,167.01,17566816
26-Aug-13,165.15,173.00,160.25,164.22,24171096
23-Aug-13,157.00,162.30,155.00,161.84,12931842
22-Aug-13,149.22,157.48,148.14,157.10,10592391
21-Aug-13,150.00,150.31,146.25,147.86,6266262
20-Aug-13,148.65,149.78,147.00,149.58,6418108
19-Aug-13,143.43,147.38,142.83,144.90,8037640
16-Aug-13,141.63,143.91,140.97,142.00,7108086
15-Aug-13,136.43,143.60,135.00,139.67,10188877
14-Aug-13,142.72,144.84,138.05,139.36,11693743
13-Aug-13,149.50,149.84,144.45,145.43,8748863
12-Aug-13,149.43,150.50,142.05,147.38,14912175
9-Aug-13,152.40,155.95,151.25,153.00,8936029
8-Aug-13,154.36,158.88,150.46,153.48,27246763
7-Aug-13,141.89,141.95,132.36,134.23,18212138
6-Aug-13,144.75,145.73,141.10,142.15,9261092
5-Aug-13,140.01,144.89,139.65,144.68,10200629
2-Aug-13,134.59,138.25,133.61,138.00,6269838
1-Aug-13,135.00,136.52,132.63,135.55,5323599
31-Jul-13,132.57,134.98,131.45,134.28,6351637
30-Jul-13,134.80,137.49,128.18,131.74,13130267
29-Jul-13,129.32,135.37,128.25,134.62,9686072
26-Jul-13,128.14,130.68,126.61,129.39,9640703
25-Jul-13,120.40,124.75,120.19,124.07,5287144
24-Jul-13,124.47,124.50,119.56,121.70,6871372
23-Jul-13,124.00,125.56,121.82,122.74,7740469
22-Jul-13,119.89,126.68,119.88,122.43,9804810
19-Jul-13,118.50,120.55,116.51,119.68,5891439
18-Jul-13,120.97,122.73,116.18,119.03,11407358
17-Jul-13,106.52,121.62,104.50,120.25,26028947
16-Jul-13,126.28,126.32,107.30,109.05,32371868
15-Jul-13,133.03,133.26,126.82,127.26,9924336
12-Jul-13,125.50,129.94,124.51,129.90,11349186
11-Jul-13,124.88,126.09,122.35,125.61,7486958
10-Jul-13,123.19,123.25,120.79,122.27,5600012
9-Jul-13,124.64,125.32,121.91,123.45,8603207
8-Jul-13,121.37,122.18,118.82,121.61,7820816
5-Jul-13,118.32,120.28,115.70,120.09,6827497
3-Jul-13,118.00,119.25,114.27,115.24,4806662
2-Jul-13,118.26,121.89,115.50,117.82,12070315
1-Jul-13,109.36,117.77,109.15,117.18,10903601
28-Jun-13,108.57,109.44,106.71,107.36,5750431
27-Jun-13,106.75,110.25,106.13,109.25,8750826
